,base_color_a,base_color_b,base_color_lum,base_ori,button,correct_answer,reaction_time,response,stimulus_type,task,trial_color,trial_direction,trial_orientation,trial_position_x,trial_position_y,trial_type
0,80.0,75.0,70.0,135.0,s,1.0,0.60016124461708387,-1.0,0.0,1.0,3.3327378761775002,-1.0,-3.4270616194100998,0.0,0.0,0.0
1,-80.0,75.0,70.0,45.0,f,1.0,0.57508023744230741,1.0,1.0,1.0,-9.3983208108205503,1.0,-2.4305401556100001,0.0,0.0,0.0
2,80.0,75.0,70.0,135.0,s,0.0,0.85009553230429447,-1.0,0.0,1.0,4.6658330266484995,1.0,1.7013781089269999,0.0,0.0,0.0
3,-80.0,75.0,70.0,135.0,l,1.0,0.74176800046916469,1.0,0.0,2.0,-4.6658330266484995,1.0,-1.7013781089269999,0.0,0.0,0.0
4,80.0,75.0,70.0,135.0,j,1.0,0.90843324170691631,-1.0,0.0,2.0,13.330951504710001,-1.0,1.7013781089269999,0.0,0.0,0.0
5,80.0,75.0,70.0,45.0,j,1.0,0.73345688958670507,-1.0,0.0,2.0,2.3329165133242498,-1.0,-1.7013781089269999,0.0,0.0,1.0
6,-80.0,75.0,70.0,45.0,l,1.0,1.4000628329449682,1.0,1.0,2.0,-4.6658330266484995,1.0,4.8610803112200003,0.0,0.0,0.0
7,-80.0,75.0,70.0,135.0,f,0.0,1.5417434260598384,1.0,0.0,1.0,-3.3327378761775002,-1.0,4.8610803112200003,0.0,0.0,0.0
8,80.0,75.0,70.0,135.0,f,0.0,1.0334100784730254,1.0,1.0,2.0,26.661903009420001,1.0,-9.7221606224400006,0.0,0.0,1.0
9,80.0,75.0,70.0,135.0,l,1.0,1.0334146398481607,1.0,2.0,2.0,13.330951504710001,1.0,-4.8610803112200003,0.0,0.0,0.0
10,-80.0,75.0,70.0,45.0,j,0.0,0.75010305857358617,-1.0,2.0,2.0,-4.6658330266484995,1.0,4.8610803112200003,0.0,0.0,1.0
11,-80.0,75.0,70.0,45.0,s,0.0,1.0500499755680721,-1.0,0.0,1.0,-13.330951504710001,1.0,-4.8610803112200003,0.0,0.0,0.0
12,-80.0,75.0,70.0,45.0,f,1.0,0.55014890039547026,1.0,2.0,1.0,-9.3983208108205503,1.0,0.60763503890250004,0.0,0.0,1.0
13,80.0,75.0,70.0,135.0,j,1.0,0.88342179550545552,-1.0,1.0,2.0,6.6654757523550003,-1.0,9.7221606224400006,0.0,0.0,1.0
14,-80.0,75.0,70.0,135.0,s,1.0,0.64178464948963665,-1.0,3.0,1.0,-2.3329165133242498,-1.0,2.4305401556100001,0.0,0.0,1.0
15,80.0,75.0,70.0,135.0,f,1.0,0.7417862459715252,1.0,0.0,1.0,9.3983208108205503,1.0,-3.4270616194100998,0.0,0.0,0.0
16,-80.0,75.0,70.0,45.0,l,1.0,1.1583213454687211,1.0,0.0,2.0,-13.330951504710001,1.0,1.7013781089269999,0.0,0.0,0.0
17,-80.0,75.0,70.0,45.0,s,0.0,0.92505631873063976,-1.0,3.0,1.0,-6.6654757523550003,1.0,-2.4305401556100001,0.0,0.0,0.0
18,80.0,75.0,70.0,45.0,f,0.0,0.75844153770776757,1.0,1.0,2.0,4.6658330266484995,-1.0,-1.7013781089269999,0.0,0.0,0.0
19,-80.0,75.0,70.0,135.0,s,0.0,0.90841414094757056,-1.0,1.0,2.0,-13.330951504710001,-1.0,1.7013781089269999,0.0,0.0,0.0
20,80.0,75.0,70.0,135.0,l,1.0,1.2667666178031141,1.0,1.0,2.0,2.3329165133242498,1.0,-9.7221606224400006,0.0,0.0,1.0
21,-80.0,75.0,70.0,45.0,l,0.0,0.80005696017360606,1.0,1.0,2.0,-9.3983208108205503,-1.0,-2.4305401556100001,0.0,0.0,0.0
22,80.0,75.0,70.0,135.0,l,1.0,1.0917346739215645,1.0,1.0,2.0,6.6654757523550003,1.0,-0.60763503890250004,0.0,0.0,1.0
23,80.0,75.0,70.0,45.0,j,1.0,0.76682392008024181,-1.0,1.0,2.0,9.3983208108205503,-1.0,-3.4270616194100998,0.0,0.0,0.0
