,base_color_a,base_color_b,base_color_lum,base_ori,stimulus_type,task,trial_color,trial_end,trial_orientation,trial_position_x,trial_position_y,trial_start,trial_type
0,80.0,75.0,70.0,45.0,0.0,1.0,0.5,9.81844210625,0.5,0.0,0.0,2.69687414169,1.0
1,80.0,75.0,70.0,45.0,0.0,1.0,0.5,17.6199071407,-0.5,0.0,0.0,10.0333139896,1.0
2,80.0,75.0,70.0,135.0,0.0,1.0,10.0,25.2355511189,10.0,0.0,0.0,17.8352251053,0.0
3,80.0,75.0,70.0,135.0,0.0,1.0,10.0,32.3697991371,-10.0,0.0,0.0,25.4559221268,0.0
4,-80.0,75.0,70.0,45.0,0.0,1.0,-10.0,39.9702270031,10.0,0.0,0.0,32.5828411579,0.0
5,-80.0,75.0,70.0,45.0,0.0,1.0,-10.0,47.0362091064,10.0,0.0,0.0,40.1721851826,0.0
6,-80.0,75.0,70.0,135.0,0.0,1.0,-10.0,54.8024361134,10.0,0.0,0.0,47.2400159836,0.0
7,-80.0,75.0,70.0,135.0,0.0,1.0,-10.0,62.1583449841,10.0,0.0,0.0,55.0125801563,0.0
8,80.0,75.0,70.0,45.0,1.0,1.0,10.0,69.1695680618,10.0,0.0,0.0,62.3689820766,0.0
9,80.0,75.0,70.0,45.0,1.0,1.0,10.0,76.6248130798,10.0,0.0,0.0,69.3835391998,0.0
10,80.0,75.0,70.0,135.0,1.0,1.0,0.5,83.5567951202,-0.5,0.0,0.0,76.861811161,1.0
11,80.0,75.0,70.0,135.0,1.0,1.0,0.5,90.4084770679,0.5,0.0,0.0,83.780493021,1.0
12,-80.0,75.0,70.0,45.0,1.0,1.0,-10.0,97.3588030338,10.0,0.0,0.0,90.6325089931,0.0
13,-80.0,75.0,70.0,45.0,1.0,1.0,-10.0,104.906903028,10.0,0.0,0.0,97.6126701832,0.0
14,-80.0,75.0,70.0,135.0,1.0,1.0,-10.0,111.806921005,-10.0,0.0,0.0,105.128918171,0.0
15,-80.0,75.0,70.0,135.0,1.0,1.0,-10.0,119.072084188,10.0,0.0,0.0,112.036926985,0.0
16,80.0,75.0,70.0,45.0,2.0,1.0,10.0,126.138667107,-10.0,0.0,0.0,119.291290998,0.0
17,80.0,75.0,70.0,45.0,2.0,1.0,10.0,133.621546984,10.0,0.0,0.0,126.35315609,0.0
18,80.0,75.0,70.0,135.0,2.0,1.0,10.0,140.589152098,10.0,0.0,0.0,133.843317032,0.0
19,80.0,75.0,70.0,135.0,2.0,1.0,10.0,147.45385313,-10.0,0.0,0.0,140.810506105,0.0
20,-80.0,75.0,70.0,45.0,2.0,1.0,-0.5,154.321228027,0.5,0.0,0.0,147.666189194,1.0
21,-80.0,75.0,70.0,45.0,2.0,1.0,-0.5,161.272757053,0.5,0.0,0.0,154.53000617,1.0
22,-80.0,75.0,70.0,135.0,2.0,1.0,-10.0,166.338364124,10.0,0.0,0.0,161.492120981,0.0
